Francesca,Construction ID,Name,Form,Function,Formal Tags,Functional Tags,Schematicity Level,Examples 1,Source,Examples 2,Source,Examples 3,Source,Examples 4,Source,Examples 5,Source,Idiomaticity Level Function,Explain,Idiomaticity Level Form,Explain,Idiomaticity Level Restrictions,Explain,Idiomaticity Level Collocational Preferences,Explain,Idiomaticity Level Usage Familiarity,Explain,Data Collector,Notes
,65,,"X Adv che Y
 ",[X]FOCUS,"cleft-like construction, che construction","focus marker, epistemic reinforcement",partially filled/schematic, All'asilo sì che si stava bene.,Corpus: CORIS,"La fame no che non la puoi fermare, non è fiamma di fuoco che gli butti di sopra un ""cato"" d'acqua; il sonno ferma i debiti e le cambiali, ma la fame morde le budella a strazzi: vuole un pezzo di pane, pure che è duro.",Corpus: itTenTen20,"Non del successo perché sono ansioso come se vivessi costantemente in procinto di fare bungee jumping, ma sicuramente dell'interesse che genera, questo certo che mi rende invidioso.",Corpus: itTenTen20, però // c'è l' idea della possessione // questo sì che c'è nell'islam,Corpus: KipTO,"Ma Tonino un'idea ce l'ha: dopo quell'8 per cento alle europee dovrete riconoscere, come minimo ""questo certo che c'azzecca""",Corpus: itTenTen20,no,"The function of the construction is not entirely predictable from its parts. From a semantic point of view, Adv che can be omitted without changing the truth conditions and the acceptability of the constructions (CFR., e.g., ""All'asilo sì che si stava bene"" and ""All'asilo si stava bene"").",no,,yes,"Adv = sì, no, certo.
Other adverbs (e.g., sicuro, ovvio) are possible but rather marginal.
 ",no,"X = phrase (clauses are possible, although they are more marginal)
Y = clause (X is a constituent of Y)
When Adv is no, Y contains a negator.",no,,Silvia Brambilla,"According to the adopted definition, the construction can be conceived as a non-prototypical cleft construction. Its relationship with the similar construction Adv che Y should be further investigated."
,66,,"prima X, prima Y
Formal variants: prima X prima Y, prima X e prima Y",Xi (IN ORDER TO) Yi,"reduplication, repetition, discontinuous reduplication",consequentiality,partially filled/schematic," C ' è malumore tra i ragazzi , prima ritroveremo spazi adeguati , prima tornerà l ' armonia .",MONITOR,"Lui replicò che la famiglia non c ' entrava e di seguirlo in silenzio , prima saremmo usciti e prima avremmo finito quella che ora definiva come scomoda transazione , ripetendomi che dovevo avere quello per cui ero entrato in quella casa , e chi aveva sbagliato doveva pagare .",CORIS,"E ' nostro interesse partire il prima possibile , le aziende devono girare : prima si parte , prima si lavora.",MONITOR,"L ' esperienza del resto ci insegna che prima ne parli , prima ti passa .",CORIS,"Forza ragazzi , prima finiamo prima ci togliamo da quest ' impiccio .",MONITOR,no,,yes,"There are fixed parts ""prima... prima... "" that are separated by slots that can be filled with different linguistic elements.",no,,yes,"X = V (single word, phrases or sentences)
Y = V (single word, phrases or sentences)",no,,Eliana Di Palma,"Interestingly, the similar construction 'prima x e poi y' combines not only with verbs but also with nouns, which is not possible with the construction 'prima V, prima V'. For example: 'Prima i compiti, poi il gioco', but not 'prima i compiti, prima il gioco'. In the second case, the temporal and sometimes causal meaning is lost. "
,67,,"me l- chiam- X?
Formal variants: (e) (tu) quest-/quell- me l- chiam- X?
(e) (tu) me l- chiam- X quest-/quell-?","it is not true that (supposed)X can be defined as X
(supposed)X is not a real/good example of X",,"CRITICISM, rhetorical question",partially filled/schematic,"E tu questo me lo chiami ""articolo""?",Corpus: iTenTen20,"Accettare che ""l'unico amore sia nato dal unico odio"", esserne consapevoli al punto da affrontare qualunque cosa(dall'esilio all'essere sepolti vivi) pur di ""arrivare al giorno in cui si sorriderà dei tormenti dell'oggi""; e tu questo me lo chiami ""fuggire dai problemi""? ",Corpus: iTenTen20,"Può essere più o meno extra, a seconda della percentuale di frutta presente, ma non è comunque marmellata. Spiegarlo agli altri è praticamente impossibile, anche perchè avete mai assaggiato la marmellata di limone?  Ti senti rispondere ""E tu me la chiami marmellata questa?"" Come dargli torto! ",Corpus: iTenTen20,"A quanto pare è finita. Hm, dai, è andata meglio del previsto. Il ""previsto"" consisteva nel dover far paura ad un vecchietto, mentre ti sei ritrovato a combattere, procurandoti un taglio non trascurabile sul mento. Questo me lo chiami ""meglio del previsto""? ",Corpus: iTenTen20,"Siamo all'ombra di una montagna di morti che non riusciamo a vederne la cima, conficcati come dannati in un lago ghiacciato e senza vita, e tu questo me lo chiami un lieto fine? Mi dovrei accontentare?",Corpus: iTenTen20,yes,"The function of the construction is not predictable from its parts.
This construction is used to indicate that someone's judgement on X is wrong (epistemic value challenging function).",yes,,yes,V must be in the 2nd person (singular or plural),yes,"X = tendentially N (other categories are possible but marginal)
X = tendentially single word (other elements, like phrases or sentences, are possible but more marginal)
Noun can occasionally be preceded by an article
eventuale elemento deittico dislocato a dx o a sx (quasi sempre a sx)
Ripresa clitica obbligatoria",no,,Claudia Coppola,
,68,salta fuori che,"saltare3.SG fuori che Cl
 ",[Experiencer] finds out that [State of Affairs] is unexpectedly [X]Cl from [Source],"impersonal construction, that-clause","mirativity, evidentiality",partially filled/schematic,"Poi è saltato fuori che, in Afganistan, lungi dal vincere stiamo perdendo.",itTenTen20,L'operatrice verifica e salta fuori che hanno spedito tutto all'indirizzo sbagliato.,itTenTen20,"Personaggio ambiguo, inizialmente sembrava coinvolto nella morte della moglie, poi saltò fuori che stava cercando di proteggere la famiglia dal misterioso Comitato.",itTenTen20,"Una volta qui però si scopre che sono poche le possibilita'' che offre un paese come questo, poi però salta fuori che potrebbero non essere così poche [...].",itTenTen20,Una banca emette un decreto ingiuntivo ad una vedova per un importo di 180.000 €... ma... guarda caso.. salta fuori che la firma sulla fideiussione è FALSA!,itTenTen20,yes,,no,,yes,,no,,no,,Flavio Pisciotta,
,69,,E tu V che X ?,discorsivo-testuale. Sollevare un'obiezione.,complex predicates,CRITICISM,partially filled/schematic,"E tu credi che visto che non ci sono politici in grado di fare il grande salto bloccando il paese se necessario,si debba fare una rivoluzione?",Paisà,E tu pensi che se vengono cancellate alcune norme si torni al far west?,Paisà,,,,,,,no,,no,,yes,"V = verbo epistemico
X=clausola",no,,no,,Giulia Giunta,
,70,Endocentric left-headed compounds,[[x]Xαk [y]Yβi]Xαj ,[SEMk in R with SEMi]j ,"compounding, morphology, left-headed",endocentric compounds,fully schematic,"L ' Italia si notava bene sul mappamondo (map+world) che era uno stivale 
'It was clear on the globe that Italy was a boot'.",CORIS 2021,"Seppellimmo zia Letty in un camposanto (field+holy) fangoso e pieno di erbacce.
'We buried Aunt Letty in a muddy, weedy cemetery'
 ",CORIS 2021,"Le pinne dorsali sono l ' ingrediente principale della famosa zuppa di pinne di pescecane (fish+dog)
'Dorsal fins are the main ingredient of the famous shark fin soup'.",CORIS 2021,,,,,no,,no,,yes,,no,,no,,Silvia Micheli,
,71,,"NP_subj V NP_obj a NP_compl
 ","literal or metaphorical tranfer of Theme (NP_obj) from Agent (Np_subj) to Beneficiary (a NP_compl) through the Verb
 ","argument structure construction, Dative construction, Preposition a, ""Double Object"" construction",Beneficiary construction,fully schematic,,,,,,,,,,,no,,no,,no,,no,,no,,,"- general meaning of transfer (metaphorical or literal)
- allostruction/ formal variant: NP V a NP NP ???"
,72,Focusing cleft sentence ,"quello che V è X
Formal variants: ciò che V è X; quello che V sono x; ciò che V sono X",Focusing structure encoding exhaustiveness and intensification,cleft-like construction,"intensification, limitatezza, focus marker",partially filled/schematic, Ma quello che mi interessa in questo caso è piuttosto il discorso sugli ex terroristi,Corpus: Italian Web 2020 (ItTenTen20),quello che ci interessa non e' solo // com' e' costituita la societa' ma anche come fa l' antropologo a studiarla,Corpus: KIP,perché quello che conta è la modalità dello scorporo degli investimenti dal deficit pubblico,"Corpus: Italian parliamentary debates (ParlaMint 2.1, CoNLL format) ",Quello che inizio però a non avere molto chiaro è quale sia la sua vera ambizione,Corpus: ELEXIS Italian Web 2020," Ciò che più conta, però, è che la liquidità arrivi davvero alle imprese.","Corpus: Italian parliamentary debates (ParlaMint 2.1, CoNLL format) ",,,,,,,,,,,Lorenzo Albanesi,
,73,Speigare di essere senza soldi ,"Aus. essere, Prep, N.","Pragmatica, Descrittiva ",lexically filled idiom,situation,lexically filled,Preferiva essere in bolletta e ricominciare da zero piuttosto che restare sottomesso al padre e smerciare alcol.,Glosbe dizionario online,"Doveva essere in bolletta sparata – non comprava mai, per esempio, abiti nuovi, solo scarpe e vestiti di seconda mano.",Glosbe dizionario online,Si può essere figli di industriali ed essere in bolletta.,Glosbe dizionario online," 

Non dirmi cosa significa essere in bolletta finché non sei stato in bolletta in una grande città
",Glosbe dizionario online,"
Be’, c’è sicuramente una via di mezzo tra l’essere in bolletta e l’essere ricco sfondato, George.

 ",Glosbe dizionario online,,,,,,,,,,,Sofia Guizzardi,"Nelle zone da cui provengo, Modena, viene usata molto più spesso in dialetto rispetto all'italiano. "
,74,"""Stare"" with Noun Phrase used as Adverb/Prepositional Phrase","stare ART N
Formal variants: stare ADV ART N",PRAGMATIC,"formal idiom, lexically open, unformal","intensification, context dependence",partially filled/schematic,“Come state?” “Io sto una bomba. Sono a Helsinki da qualche giorno.”,Corpus: Italian Web 2020 (itTenTen20),"Da quando è partito sto uno straccio, sono distrutta, sto malissimo, la mia vita non ha più senso.",Corpus: Italian Web 2020 (itTenTen20),"Se non vado subito a casa a mangiare e dormire, domani starò una schifezza.","Corpus: CORIS
","Non sto proprio una meraviglia, ma non abbastanza male da potermene stare a casa.",Corpus: Italian Web 2020 (itTenTen20),[...] e quindi stai veramente una merda quando sai che non è andata così.,Corpus: Italian Web 2020 (itTenTen20),,,,,,,,,,,Martina Paolucci,"It is a construction in evolution, only used in oral and informal conversations.
It coexists with the more usual and standard constructions stare + PP (sto di merda; sto da schifo) or stare + AdvP (sto come uno straccio).
It seems to be more used by speakers from Central and Southern Italy, where it is considered as almost stardard (especially in the regional Italian from Rome: sto 'na crema), while it is perceived as non-standard by Northern speakers."
,75,mongo- construction,[mongo-[X]]ADJ,PEJORATIVE,"prefixation, affixoids","pejorative, derogatory",partially filled/schematic,... dopo le parole der capitano devoiartri pronunciate alla finedi juve - aroma dominata dai bianconeri ... a squadragiallorotta s'e' squagliata come neve ar sole ... er burinomongolitico sa' come motivare i compagni ... ruotfl...... un pezzettino del 33° scudetto e' anche suo ...,https://it.sport.calcio.roma.narkive.com/O4XuorOP/grazie-totto,"Esiste, nell’umana varietà, una sottospecie particolarmente molesta situata nell’interstizio fra il Mongospastico e il Mongolitico, a non troppa distanza dal Nerd e nel quartiere confinante con quello dei Maniaci: è lo Svantaggiato.",https://idiotaignorante.wordpress.com/2011/12/10/,"vorrei un aiuto da voi ggiOvani.qualcuno è in grado di darmi definizioni esaustive e comprensibili dei termini ""bimbominkia"" e ""mongoflettico/mongoplettico""?
[...]
 
L'altra (mongoplettico) è un'offesa...è tipo un ""mongolo/mongoloide"" in versione 2.0",https://parmafans.forumcommunity.net/?t=55325773,"Tra mille anni la nostra ERA sarà ricordata nei libri di storia come il ""MONGOLITICO"", e ci saranno i nuovi Alberto Angela a raccontarla....",https://www.facebook.com/groups/altrogiornale.org/permalink/3035815399800810/,ciao sono un mongospastico e mi sento infastidito dal tuo messaggio.,https://it.arti.musica.strumenti.chitarra.narkive.com/KsyTdOEU/i-mongospastici-di-iamsc,,,,,,,,,,,Matteo Pucci,"Note 1: these adjectives, apart from the fact that they are offensive, have colloquial usage but their form is somehow mimicking technical terms from medicine or other sciences; as for mongolitico we can see that adjectives about archaeological eras (paleolitico, neolitico...) have a certain influence (even though it is hard to say whether it is subsequent to the word formation or a concurrent cause). The forms in -litico are reminiscent of informal adjectives like favalitico (from fava) used in some Tuscan varieties.
Note 2: most of the linked sources are written, but in a style that resembles common speech."
,76,Homolexemic binominal adverbial construction,Ni Prep Ni,SYMMETRICAL SPATIAL LOCATION or SEQUENTIALITY/STACKING,"same referent, noun, prepositional phrase","location, sequentiality, stacking",fully schematic,"


cosa d' omini // era una faccenda che si doveva sbrogliari
 faccia a faccia
 // non si mh non confessa a suo padre quello che e' successo


",Corpus: KIP,"


rotto // e i piatti i bicchieri rimasti sani che posera'
 mano a mano
sulla tavola // raddrizzandosi di tratto in tratto si


",Corpus: KIP,"La Type 91 del 1907 altro non era che una versione spider della Type 81, con la quale condivideva telaio e meccanica. La Type 91 era però una spider solo fino ad un certo punto: infatti, oltre ai due posti classici di una spider, ricopribili tramite una capote in tela, la Type 91 offriva addirittura altri 4 posti di fortuna, situati nella parte posteriore della vettura e sistemati su due file disposte schiena contro schiena.",Corpus: Paisà (https://www.corpusitaliano.it/static/documents/sources/116/1166370),"La via si percorre passo dopo passo. Se un passo è intenso e perfetto, lo sarà anche quello successivo. Pensiamo a fare ogni passo in maniera perfetta, non alla via. Non chiediamo altro che il nostro pane quotidiano. E cioè: qui e ora, il nostro presente.(Alejandro Jodorowsky)",https://aforisticamente.com/frasi-citazioni-e-aforismi-sulla-strada-e-il-cammino/,È stato tutto il tempo a farmi domande su domande.,Made-up example,,,,,,,,,,,Matteo Pucci,
,77,Modal prepositional phrase,a N,MODALITY,prepositional phrase,modalità dell'azione,fully schematic,"


io ero emozionatissimo ho letto // invece di di di di andare
 a braccio
 // di andare a braccio // praticamente ho parlato


",Corpus: KIP,questo // boh // ma io in genere prendo quello dolce cosi' a sentimento quindi mi sembra di notare una una differenza // quindi non,Corpus: KIP,"


sul materiale didattico // un file pi di effe che ho scritto
 a mano
 stamani // ci sono sedici pagine // con la dimostrazione


",Corpus: KIP,"Il fastidio sopraggiunge quando il nostro campo risulterà poco coerente rispetto alle frequenze di campo di chi stiamo incontrando, causando un’interferenza di contenuti tra noi e l’altro, che non sapremo cogliere coscientemente se non come un sentire di “fastidio a pelle”.",https://www.carmendimuro.com/post/2018/06/16/sentire-a-pelle,"- Ma non avevi riparato la tivù?!?
- Mah, a logica ora dovrebbe funzionare",Made-up example,,,,,,,,,,,Matteo Pucci,"Other examples can be: a occhio, a naso, a senso, a regola (variante di come regola)... a logica is probably restricted in (at least) the Tuscany area."
,78,Non stare a construction ,AVV NEG (non) +STARE + PREP (a) + V,PRAGMATIC ,"formal idiom, Preposition a",approximation,partially filled/schematic,"""Sì , per me va benissimo . Ma metterti a cucinare , semmai ordiniamo delle pizze .""",CORIS,"Che te ne frega della coerenza , o di quello che dice Pepe . Vai ora , perdere tempo , aggiungi donna a donna , e non metterti a contare",CORIS,,,,,,,,,,,,,,,,,sofia panzavolta,
,79,Menare il can per l'aia,"V, Obj, Compl",Pragmatica,"grammatical idiom, lexically filled idiom","context dependence, situation",lexically filled,"E' qui che abbiamo un problema, un dilemma, e dobbiamo affrontarlo apertamente anzichè menare il can per l'aia.",Glosbe dizionario online,"La sua segretaria continuava a menare il can per l'aia, dicendo che non poteva rispondere al telefono.",Glosbe dizionario online,"Non voglio menare il can per l'aia, ho davvero bisogno del mio telefono.",Glosbe dizionario online,"Dato che sei al corrente del mio segreto, non serve a niente menare il can per l'aia.",Glosbe dizionario online,"Non ha senso menare il can per l'aia, o fingere che non stia succedendo quello che sta succedendo.",Glosbe dizionario online,,,,,,,,,,,Federica Lando,
,80,Homolexemic binominal adverbial construction #2,Ni Prep Ni,Expression of a large quantity/set or a high degree of something. Possible negative connotation of annoyance.,,,fully schematic,continua ad accumulare errori su errori,CORIS,sono due anni che faccio esami su esami al colon,CORIS,ricevo in continuazione libri su libri,CORIS,comincerà a far domande su domande,CORIS,"La logica pretende di farla da padrona e queste sono le inevitabili conseguenze:
odio su odio.",CORIS,,,,,,,,,,,Lara Cipelletti,
,81,battere un colpo,V + N,pragmatica,"Substantive idiom, idiom of encoding, lexically filled idiom",,lexically filled,"Comunque, puoi dirle di battere un colpo quando ha un minuto?",Glosbe dizionario online,"Credo che ora spetti al Parlamento, per così dire, battere un colpo.",Glosbe dizionario online,"Ruth ringhiò, e senza battere un colpo, balzò sull'uomo, infilandogli i denti nella gola.",Glosbe dizionario online,Circa cinque minuti dopo sentì battere un colpo esitante alla porta.,Glosbe dizionario online,,,,,,,,,,,,,Sofia Bonmassar,
,82,être en train de,V + Prep + N + Prep,grammaticale aspettuale,"extragrammatical, formal idiom, lexically open",,lexically filled,Et le tueur pourrait être en train de chercher sa prochaine victime.E l'assassino starà cercando la prossima vittima.,Reverso context dizionario online,La même chose pourrait être en train de se passer aujourd'hui.La stessa cosa potrebbe accadere oggi.,Reverso context dizionario online,Je suis censée être en train de prier.Adesso io dovrei essere in preghiera.,Reverso context dizionario online,,,,,,,,,,,,,,,Sofia Bonmassar,
,83,prendere + nome,prendere + nome,pragmatica,,,partially filled/schematic,prendere sonno,,prendere paura,,prendere freddo,,,,,,,,,,,,,,,,,
,84,"Costruzione enfatica con il doppio ""che""","che (x) che (y)
che+Adj+che+V",funzione enfatica.,"che polivalente, lexically open, che construction","intensification, focus marker",partially filled/schematic,che bene che sto,ideata da me stessa,che grande che è,ideata da me stessa,che bene che ti voglio,ideata da me stessa,che brutto che è quel maglione,ideata da me stessa,che bello che vieni,ideata da me stessa,,,,,,,,,,,Mariasofia La Cava,
,85,è ora di construction,è ora di V,PRAGMATIC,minimally filled idiom,"action, time",partially filled/schematic,"Luisa, che forse è stata anche felice nei suoi anni di matrimonio con Bruno, scopre che è ora di dire addio a tutto questo.",CORIS,"Ops, suonano, è ora di andarsene.",CORIS,"Per quanto riguarda gli argomenti dei suoi assertori, è ora di smetterla con la storia della nostra tradizione, delle nostre peculiarità.",CORIS,Forse è ora di capire davvero che non c'è nulla da salvare.,CORIS,è ora di esaminare il contributo della teoria sociale a questo riguardo.,CORIS,,,,,,,,,,,Lorenza Gambetti,
,86,"motion verb + ""a"" + infinitive construction",V1 (motion) + PREP (a) + V2,pragmatic,"lexically open, Preposition a","action, modalità dell'azione, durativity, imperfective aspect",partially filled/schematic,quando Orfeo si gira a guardare Euridice,"https://ricerca.repubblica.it/repubblica/archivio/repubblica/2011/04/22/quando-orfeo-lascia-euridice.html
",la prego di scusarmi se non potrò restare ad ascoltare la sua risposta,"https://context.reverso.net/translation/italian-english/restare+ad+ascoltare 
> 
https://www.statmt.org/europarl/v7/it-en.tgz
",E quindi uscimmo a riveder le stelle,"Dante Alighieri, Inferno, XXXIV, 139",si è fermato a chiacchierare,"https://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=123144192&End=123144195
",E tutti sono andati a preparare la partenza,"https://corpora.ficlit.unibo.it/TCORIS/Context.php?Start=80159752&End=80159753
",,,,,,,,,,,,
,87,anna ciarlantini,"""Visto che...""",,formal idiom,"context dependence, focus marker, sequentiality",lexically filled,"visto che ieri siamo andati al parco, oggi non ci andremo",,"visto che tu sei fatto così, allora è meglio se non mi parli più",,,,,,,,,,,,,,,,,,,
,88,"""prendere per"" construction",prendere + Prep + Art + N,Pragmatic,formal idiom,intensification,partially filled/schematic,"Io e Francesca eravamo incantati da quel racconto. Infatti credo che a Federico sia dispiaciuto doverci confessare che non era vero, e che si era inventato tutto per prenderci per il culo. È sempre stato un suo talento raccontare palle.",CORIS,"Vogliamo prenderci in giro? Se è così, facciamolo pure. Ma non andiamo avanti con questo ritornello se no la Roma si lascerà prendere per i fondelli dall'intero mondo calcistico.",CORIS,"Proprio come a Lisbeth Salander, gli piaceva risolvere rompicapi ed enigmi. Pare che si divertisse particolarmente a prendere per il naso altri matematici costruendo problemi ma tralasciando di includere la soluzione.",CORIS,"Sei andato di fuori, piedipiatti. Alzò la Colt. Ti avevo avvertito di non prendermi per il bavero. E io te l’avevo detto che era troppo furba per nascondersela addosso replicò Malone",CORIS,"Marco è una persona paziente e accomodante, ma diventa molto severo con chi tenta di prenderlo per il fondo dei calzoni.",Invented ,,,,,,,,,,,Michela Buglione,
,89,non fa che costruction,non fare (altro) che V,pragmatica,che construction,"durativity, pejorative",partially filled/schematic,"Per la strada, non fa altro che parlare.",Reverso context dizionario online,Quel bebè non fa altro che piangere.,Reverso context dizionario online,Non fa che dire pallonate.,Treccani,Tuttavia preoccuparsi di ciò che potrebbe succedere domani non fa altro che aggravare il carico emotivo di oggi.,Glosbe dizionario online,"La violenza non aiuta nessuno; non fa che promuovere odio, divisioni, frustrazioni e problemi a non finire.",Glosbe dizionario online,,,,,,,,,,,Ling Yue,
,90,"Construction of the pronominal verb ""avercela con""",avercela + con + N/P,Semantica,"formal idiom, unformal","EMOTIVE, durativity",partially filled/schematic,insegna che non ha più senso  la prima moglie...,CORIS [MONITOR2001_04],Potevo  Ugo per aver spezzato...,CORIS [CORIS1980_2000],pur precisando di non  il governo...,CORIS [CORIS1980_2000],Non ho motivo di  lei...,CORIS [CORIS1980_2000],,,,,,,,,,,,,Naomi Feraco,
,91,Cadere in costruzione ,V + Prep(sempl) + Sostantivo,Semantico/Pragmatica,semi fixity,situation,partially filled/schematic,Cadere in trappola,Parlante nativo,Cadere in inganno,Parlante nativo,Cadere in rovina,Parlante nativo,Cadere in disgrazia,Parlante nativo,Cadere in fallo,Parlante nativo,,,,,,,,,,,Vanessa Tizzano,
,92,X1 conjunction ri-X1 - construction,X1 conjunction ri-X1,pragmatic,repetition,intensification,fully schematic,"Lui con la testa china su un foglio che legge e rilegge muovendo le labbra, gli occhi socchiusi per correggere il suo difetto alla vista.",Corpus: CORIS,"Vi capita di avere problemi sul lavoro, oppure durante lo svolgimento di un' altra attività, perché vi perdete a fare e rifare una stessa cosa più volte del richiesto?",Corpus: CORIS,"Il presidente uscente Antonio D'Amato, che non può essere rieletto, studia e ristudia una candidatura di continuità con il proprio mandato.",Corpus: CORIS,"Hai ragione, lo so. Una dice e ridice le stesse cose, senza accorgersene.",Corpus: CORIS,,,,,,,,,,,,,Eleonora Gervasi,
,93,Costruzione del più,più X più X,Enfatica/Pragmatica,repetition,intensification,partially filled/schematic,Più si studia e più si impara,Parlante nativo,Chi più spende più guadagna,Parlante nativo,Più viaggi più conosci,Parlante nativo,Più passa il tempo più invecchiamo,Parlante nativo,Più leggi più impari,Parlante nativo,,,,,,,,,,,Vanessa Tizzano,
,94,Enfatizzazione ironica,Ma Aus Essere Agg Pron,Funzione pragmatica,Substantive idiom,"intensification, fakeness, disappointment",partially filled/schematic,"- Guarda che non si fa così.
- Ma sarai bravo tu!",Parlante nativo,"- Che brutta quella ragazza.
- Ma sarai bella tu!",Parlante nativo,"- Mi hanno detto che Luca è stupido.
- Ma saranno intelligenti loro!",Parlante nativo,,,,,,,,,,,,,,,Marianna Lorato,
,95,"""avere + N"" idiomatic construction","avere + N
Formal variant: avere + N + Prep; avere + ART + N + Prep",PRAGMATIC,"light verbs, formal idiom, lexically open",categorization,partially filled/schematic,"Le sue parole sono solo per i contadini, che hanno sete di vita",CODIS,il passare degli anni dimostrò a tutti che aveva stoffa in quel mestiere.,CORIS,"dice che un uomo non ha cervello quando è stupido, che non ha cuore quando è meschino, che non ha fegato quando è un fifone.",CORIS,Braudel ebbe agio di scrivere pagine memorabili,CORIS,Perché chi ama le scritture ed ha fame di conoscenza e verità dovrebbe rigettare l’ idea di un profeta vivente?,CORIS,,,,,,,,,,,Martina Bianco,"Costruzione frequente nel parlato, spesso sostituibile con un’unica parola (solitamente un verbo) o una locuzione fraseologica

avere fame / sete di = desiderare
avere la stoffa di / per = essere capace
avere fegato = avere coraggio
"
,96,a fagiolo construction,V a fagiolo ,pragmatica,"modality, Preposition a",intensification,partially filled/schematic,Questo sondaggio capita proprio a fagiolo,PAISA',"Indubbiamente non ci saranno difficoltà ad invocare misteriose ragioni di sicurezza, ma ecco tuttavia che queste cadono a fagiolo per evitare a Saviano di fare « cattiva pubblicità all' Italia » , come dice un certo Silvio Berlusconi",PAISA',"E l' invito è cascato a fagiolo, visto che un' altra serata sanremese non l' avrei retta senza essere supportato da una sufficiente quantità d' alcol",PAISA',,,,,,,,,,,,,,,Cecilia Scarabel,
,97,perdere ART N,perdere ART N,Pragmatic,formal idiom,,partially filled/schematic,"Sul finire del liceo mi aveva detto di avere passato un periodo critico, legato alle scelte della sua vita futura, probabilmente aveva conosciuto molto da vicino la sofferenza psichica e il rischio di perdere la strada.",CORIS,Ogni momento che passava con quei due schizoidi le faceva perdere la bussola.,CORIS,Sapeva che persino i migliori chef arrivano a perdere la tramontana.,CORIS,"In effetti le digressioni sono ""tante e tali"" da far perdere l'orientamento anche a Salviati, nonché al lettore.",CORIS,Bersani richiama all'ordine: il turbine di alleanze e di polemiche che sta investendo le nostre tlc non farà perdere la rotta al Governo.,CORIS,,,,,,,,,,,Elena Zampieri,
,98,"Paragone con ""per quanto""","per quanto + ESSERE + aggettivo, per quanto + ESSERE + aggettivo.",Esprimere un paragone.,repetition,,lexically filled,"Per quanto è brutto, per quanto è intelligente.",,,,,,,,,,,,,,,,,,,,,
,99,Farsi le ossa ,V + N,Pragmatica ,"Substantive idiom, idiom of encoding",,lexically filled,Viene poi mandato nelle federazioni di sviluppo per farsi le ossa.,bab.la - dizionario online italiano-inglese ,In quell'azienda mi sono fatto le ossa per dieci anni.,facebook - impariamo l'italiano ,"E’ stato importantissimo farsi le ossa in una realtà più piccola, perché ti permette di capire il funzionamento e la visione di un’azienda.",Blog - italiano naturale ,,,,,,,,,,,,,,,,
,100,"Emphatic construction with ""quanto"" + Adj",quanto sono Adj (di X),"Expression of and emphasis on a feeling and, if specified, what causes it.","lexically open, grammatical idiom, unformal","intensification, EMOTIVE",partially filled/schematic,Quanto sono lieto di essere partito!,itWaC,Hai visto quanto sono impazienti i loro figli di offrirsi volontari come tributi.,CORIS,Volevo dirti quanto sono fiera di te.,CORIS,"Ah, quanto sono stufo di tutte le cose inadeguate...",itWaC,Mamma mia quanto sono migliorata e quanto sono pentita di non averlo fatto prima!,itWaC,,,,,,,,,,,Laura Marion,
,101,Adverb reduplication,"Adv, Adv",Pragmatic,"reduplication, repetition",intensification,fully schematic,"Poi piano piano ho pensato che l'idea non era poi così malvagia.
 ",CORIS,Essi non si offesero e tornarono adagio adagio ai loro posti .,CORIS,Dovrà permetterci di ritrovare un tragitto analogo a quello che ti ho detto or ora.,CORIS,"I primi giorni va poco poco lì intorno, poi il giro si allarga fino al bosco e alle colline.",CORIS,"E siccome gli altri lo sapevano, erano certi di dover udire cose sconvolgenti: o bene bene o
male male.",CORIS,,,,,,,,,,,Maddalena Bartezzaghi,
,102,Non ... ne frega,AVV NEG (non) + PRO + CLITICO (ne) + V (frega) + SN/SAVV,SEMANTICO/PRAGMATICA,unformal,EMOTIVE,partially filled/schematic,Non me ne frega niente ma proprio niente,corpus kiparla,Non gliene frega un cazzo,corpus kiparla,non te ne frega davvero nulla,intuition,non me ne frega un tubo,inutition,,,,,,,,,,,,,Luca Vezzoli e Giulia Massaggia ,^_^
,103,a parte che as a discourse marker,a parte che X,Discursive,formal idiom,"insubordination, idiom with pragmatic point",partially filled/schematic,"Biancaneve non mi piace. A parte che secondo me sa più di plastica che di mandorla, ma poi non idrata, unge e basta.",SketchEngine,Diversamente quando mi mandano la mora da pagare (a parte che non ne sapevo niente) mi rivolgo ad un avvocato.,SketchEngine,"A parte che secondo me a 56 kg stai bene, comunque cinque giorni non sono indicativi.",SketchEngine,"Cavoli anche a me piacerebbe mettere l'orologio nel display, a parte che adesso cambio l'autoradio.",SketchEngine,Figuramoci se è possibile installare una cosa come R-link che dà informazioni su tutta l'auto. A parte che secondo me un sistema touch-screen porta via l'attenzione alla guida.,SketchEngine,,,,,,,,,,,Elisabetta Manassero,
,104,Fare a meno di ,fare a meno di DET+ N / Vinfinitive,"rinunciare a [fare] qualcosa / a qualcuno o qualcosa (to give up on something/someone)
 ","complex predicates, light verbs",,lexically filled,Tuttavia l ' economista non può fare a_meno_di atteggiarsi a fervente sostenitore del progresso,CORIS,Quando poco prima_di prendere sonno ripensò al suo sogno non potè fare a_meno_di sorridere nel buio . ,CORIS ,La cultura orizzontale in altre parole non può fare a_meno_della cultura verticale .,CORIS ,,,,,,,,,,,,,,,Marica Belmonte,
